,id_cliente,valor_divida_mil,tempo_inadimplencia_dias,porte_cliente,ramo_atuacao_cliente,score_risco_interno,regiao,score_recuperacao
0,20001,36.78,1097,Pequeno,Produtor,C,Centro-Oeste,-4.9381855686689775
1,20002,78.06,820,Pequeno,Produtor,B,Sudeste,3.556905870837239
2,20003,186.34,1439,Pequeno,Cooperativa,B,Sudeste,0.7145653630285373
3,20004,365.12,1009,Médio,Cooperativa,C,Sul,2.6047344318803827
4,20005,8.24,942,Pequeno,Distribuidor,C,Nordeste,2.5425500925286313
5,20006,318.87,1119,Pequeno,Produtor,C,Centro-Oeste,-8.616551991408398
6,20007,5.15,459,Pequeno,Cooperativa,C,Centro-Oeste,3.085910849198319
7,20008,43.14,658,Pequeno,Produtor,C,Sul,0.16801865256526005
8,20009,56.05,1341,Grande,Cooperativa,B,Norte,9.050895546051223
9,20010,16.44,518,Pequeno,Cooperativa,B,Nordeste,4.516957328593833
10,20011,13.04,957,Pequeno,Distribuidor,C,Sudeste,7.373830738139022
11,20012,1.83,920,Médio,Indústria,C,Centro-Oeste,13.782146668400635
12,20013,5.33,741,Pequeno,Produtor,C,Sudeste,0.03737501775636254
13,20014,112.39,921,Pequeno,Distribuidor,C,Nordeste,1.3957899334426909
14,20015,289.94,1337,Médio,Produtor,C,Centro-Oeste,-3.8375699131393004
15,20016,4.89,586,Grande,Indústria,B,Sudeste,28.167597646826238
16,20017,6.36,1293,Pequeno,Produtor,D,Centro-Oeste,-13.980977879583694
17,20018,21.57,809,Pequeno,Produtor,C,Norte,-5.658630826389519
18,20019,158.71,984,Pequeno,Produtor,D,Centro-Oeste,-13.639145266753868
19,20020,342.74,1141,Pequeno,Produtor,C,Centro-Oeste,-9.073940650588241
20,20021,167.21,994,Pequeno,Distribuidor,C,Sul,5.182264164710817
21,20022,30.88,1271,Médio,Distribuidor,C,Sudeste,10.872804885480093
22,20023,89.37,270,Pequeno,Distribuidor,D,Sudeste,3.406819705650335
23,20024,4.55,1454,Médio,Produtor,D,Sudeste,-7.1266726153925894
24,20025,35.66,602,Pequeno,Distribuidor,C,Centro-Oeste,7.667678048143637
25,20026,8.05,872,Pequeno,Produtor,C,Sudeste,-0.9471354272080084
26,20027,398.74,1364,Pequeno,Indústria,C,Nordeste,-3.3906378933151213
27,20028,16.65,631,Pequeno,Distribuidor,C,Centro-Oeste,7.694370345394674
28,20029,71.06,539,Pequeno,Distribuidor,B,Norte,9.683256487291136
29,20030,166.46,1440,Pequeno,Cooperativa,D,Centro-Oeste,-14.044712371547131
30,20031,11.93,558,Pequeno,Produtor,C,Centro-Oeste,-0.7170399324784196
31,20032,9.2,1301,Pequeno,Indústria,F,Sul,-8.074454191806044
32,20033,63.82,426,Grande,Produtor,D,Sudeste,4.593534097389153
33,20034,28.15,185,Pequeno,Produtor,C,Centro-Oeste,1.7872538177603383
34,20035,12.26,1107,Médio,Cooperativa,B,Norte,6.295107859979261
35,20036,17.59,419,Pequeno,Cooperativa,C,Norte,0.22099108732491501
36,20037,10.87,1295,Médio,Indústria,B,Sul,17.94825270349647
37,20038,99.09,1112,Pequeno,Produtor,C,Nordeste,-8.824271630448841
38,20039,2.42,1262,Médio,Produtor,F,Sudeste,-12.706884378689432
39,20040,27.3,299,Grande,Cooperativa,C,Centro-Oeste,14.970632684873626
40,20041,25.4,1303,Pequeno,Cooperativa,C,Norte,-6.291042019600374
41,20042,157.04,941,Pequeno,Produtor,C,Sudeste,-3.3062910377322776
42,20043,10.58,187,Pequeno,Cooperativa,C,Sudeste,6.991905317188559
43,20044,209.76,776,Pequeno,Produtor,C,Centro-Oeste,-4.766610707066458
44,20045,2653.12,423,Pequeno,Distribuidor,D,Sudeste,-29.68303828081445
45,20046,12.29,1265,Médio,Produtor,C,Sudeste,2.1482304295693666
46,20047,96.2,1295,Médio,Produtor,D,Sul,-7.116134379473628
47,20048,1.19,267,Médio,Distribuidor,B,Centro-Oeste,21.528526091196625
48,20049,45.07,534,Pequeno,Produtor,F,Sul,-13.956268395044162
49,20050,124.83,425,Pequeno,Produtor,D,Sudeste,-7.160234467373748
50,20051,1.36,1316,Pequeno,Distribuidor,C,Sul,4.914494949394901
51,20052,79.66,382,Médio,Cooperativa,B,Sul,15.71522890390964
52,20053,1.18,1442,Grande,Produtor,D,Sul,-1.9975598053720063
53,20054,41.02,1302,Médio,Produtor,D,Sudeste,-6.478626010403206
54,20055,7.3,465,Pequeno,Produtor,C,Nordeste,-2.9844458604361517
55,20056,17.43,1440,Pequeno,Indústria,C,Centro-Oeste,3.8142540760684067
56,20057,22.99,1180,Pequeno,Produtor,C,Sudeste,-3.3684492401934705
57,20058,101.37,682,Pequeno,Cooperativa,D,Sudeste,-5.73248155908648
58,20059,264.9,327,Pequeno,Produtor,C,Sudeste,-0.19631365680853197
59,20060,17.88,952,Pequeno,Distribuidor,C,Nordeste,2.349739422334041
60,20061,13.25,891,Pequeno,Cooperativa,A,Centro-Oeste,9.850130311144241
61,20062,107.96,1078,Pequeno,Produtor,C,Sudeste,-3.688198118192634
62,20063,5.08,1219,Pequeno,Distribuidor,B,Sudeste,10.571958411573682
63,20064,7.97,1395,Pequeno,Distribuidor,D,Sudeste,-3.7412083012862887
64,20065,25.89,1011,Grande,Produtor,D,Centro-Oeste,-1.1783001215665667
65,20066,13.91,137,Pequeno,Produtor,F,Sul,-10.68681487438448
66,20067,1351.87,1455,Pequeno,Produtor,D,Centro-Oeste,-31.940093322389657
67,20068,5.4,893,Pequeno,Produtor,C,Sul,-1.0664632667329315
68,20069,7.96,1460,Pequeno,Distribuidor,C,Centro-Oeste,1.7872537205074268
69,20070,34.24,1492,Grande,Produtor,F,Sudeste,-9.77276022729108
70,20071,8.94,541,Médio,Produtor,D,Sudeste,-0.5563854089642506
71,20072,133.81,100,Pequeno,Produtor,C,Sudeste,3.086064627326688
72,20073,68.47,1191,Médio,Produtor,A,Sul,11.984423702005756
73,20074,31.16,401,Médio,Produtor,C,Centro-Oeste,6.182336273054042
74,20075,179.74,887,Pequeno,Indústria,A,Centro-Oeste,15.802397178124874
75,20076,104.36,693,Pequeno,Produtor,F,Sul,-15.849597985744637
76,20077,19.01,1234,Grande,Produtor,C,Nordeste,2.289353506176023
77,20078,7.09,141,Pequeno,Produtor,C,Sudeste,4.369230862199454
78,20079,14.64,118,Pequeno,Cooperativa,F,Sudeste,-7.558050088911729
79,20080,42.38,1186,Pequeno,Distribuidor,A,Centro-Oeste,13.346146197008993
80,20081,202.74,1326,Pequeno,Produtor,C,Sul,-6.670037029702614
81,20082,10.45,1017,Pequeno,Produtor,D,Sul,-10.029243157353104
82,20083,73.75,1368,Pequeno,Distribuidor,C,Sudeste,3.634188321278846
83,20084,37.82,715,Pequeno,Produtor,D,Centro-Oeste,-10.179232793156912
84,20085,41.63,971,Médio,Cooperativa,D,Sul,-1.0843833356115553
85,20086,58.75,1092,Pequeno,Produtor,D,Sul,-11.17595262256464
86,20087,8.37,1089,Pequeno,Produtor,C,Centro-Oeste,-4.525754870983773
87,20088,7177.88,1491,Grande,Produtor,C,Centro-Oeste,-85.87365038418461
88,20089,34.04,629,Grande,Produtor,C,Sudeste,11.491964125175812
89,20090,87.6,325,Grande,Produtor,D,Sudeste,5.029799063362251
90,20091,233.28,842,Médio,Produtor,C,Sudeste,2.4610870774944713
91,20092,76.88,945,Pequeno,Produtor,C,Sudeste,-2.335418761068338
92,20093,121.22,1036,Pequeno,Cooperativa,D,Sul,-8.548833675290005
93,20094,7.13,596,Pequeno,Indústria,C,Sul,12.067092899683079
94,20095,15.23,1379,Grande,Produtor,C,Centro-Oeste,4.284333695552259
95,20096,9.46,1044,Pequeno,Produtor,C,Sudeste,-2.212815557553686
96,20097,38.81,789,Médio,Cooperativa,B,Norte,8.271448309967457
97,20098,13.57,1010,Médio,Produtor,B,Sudeste,8.982633116016686
98,20099,729.4,803,Pequeno,Produtor,D,Sudeste,-17.444403744870723
99,20100,5.11,430,Pequeno,Produtor,D,Centro-Oeste,-7.703156065062207
100,20101,96.57,790,Médio,Cooperativa,D,Centro-Oeste,-2.4562931902451313
101,20102,560.49,100,Médio,Produtor,F,Centro-Oeste,-13.236245000725363
102,20103,3.3,1186,Médio,Produtor,C,Sudeste,2.8336212609076386
103,20104,850.23,199,Médio,Distribuidor,C,Centro-Oeste,6.4312253004852895
104,20105,95.82,625,Pequeno,Cooperativa,C,Centro-Oeste,0.7503598033342143
105,20106,176.92,508,Pequeno,Produtor,F,Centro-Oeste,-17.412270329523697
106,20107,2.07,148,Pequeno,Produtor,B,Sul,9.38105475826179
107,20108,15.5,1387,Pequeno,Produtor,C,Centro-Oeste,-6.777085019069798
