id_cliente,valor_divida_mil,tempo_inadimplencia_dias,porte_cliente,ramo_atuacao_cliente,score_risco_interno,regiao,status_final_pago
1,1.19,1545,Pequeno,Cooperativa,F,Centro-Oeste,0
2,3.43,820,Médio,Cooperativa,B,Sudeste,1
3,10.69,809,Grande,Cooperativa,A,Nordeste,1
4,265.96,1439,Pequeno,Distribuidor,C,Sul,1
5,10.42,1625,Pequeno,Produtor,A,Sul,0
6,9.23,834,Pequeno,Cooperativa,B,Sul,0
7,10.34,575,Médio,Cooperativa,A,Sul,1
8,59.67,792,Pequeno,Cooperativa,C,Nordeste,0
9,39.06,1120,Pequeno,Cooperativa,D,Centro-Oeste,0
10,4.42,64,Pequeno,Produtor,C,Sudeste,0
11,157.42,1096,Pequeno,Produtor,C,Centro-Oeste,1
12,15.48,727,Pequeno,Produtor,C,Centro-Oeste,1
13,174.55,1074,Grande,Produtor,B,Sul,0
14,114.7,133,Pequeno,Produtor,F,Sudeste,0
15,33.0,190,Pequeno,Cooperativa,C,Sul,1
16,122.42,268,Pequeno,Cooperativa,C,Nordeste,1
17,76.23,1492,Grande,Distribuidor,C,Centro-Oeste,0
18,65.38,1055,Médio,Cooperativa,B,Sul,1
19,9.92,216,Pequeno,Cooperativa,D,Sul,1
20,53.18,1758,Pequeno,Distribuidor,C,Centro-Oeste,0
21,3.78,1648,Pequeno,Produtor,C,Sul,1
22,23.21,1393,Pequeno,Cooperativa,B,Centro-Oeste,1
23,3.97,1307,Pequeno,Produtor,B,Centro-Oeste,1
24,138.38,654,Médio,Distribuidor,C,Sudeste,1
25,546.5,1363,Grande,Distribuidor,D,Sudeste,1
26,13.13,1021,Grande,Cooperativa,B,Sudeste,1
27,11.5,1753,Médio,Cooperativa,C,Nordeste,0
28,817.7,949,Médio,Distribuidor,C,Nordeste,1
29,154.61,1412,Pequeno,Distribuidor,C,Centro-Oeste,0
30,266.62,200,Médio,Distribuidor,C,Nordeste,1
31,324.08,606,Médio,Distribuidor,A,Sul,0
32,2.32,449,Pequeno,Produtor,C,Norte,0
33,46.18,1076,Médio,Cooperativa,C,Sul,1
34,5.85,1701,Pequeno,Produtor,C,Sudeste,0
35,8.9,1372,Pequeno,Cooperativa,D,Centro-Oeste,0
36,7.73,1602,Médio,Distribuidor,C,Sul,1
37,86.89,236,Pequeno,Cooperativa,C,Sudeste,1
38,750.68,1259,Pequeno,Cooperativa,C,Sul,1
39,7.98,1659,Pequeno,Cooperativa,C,Norte,1
40,144.19,501,Grande,Produtor,C,Sul,0
41,30.15,1419,Médio,Cooperativa,C,Sudeste,1
42,21.39,1597,Médio,Indústria,B,Nordeste,1
43,11.13,875,Pequeno,Produtor,D,Sudeste,0
44,10.6,1698,Médio,Indústria,F,Norte,0
45,39.91,650,Pequeno,Produtor,C,Centro-Oeste,1
46,133.84,518,Médio,Cooperativa,B,Sudeste,0
47,140.38,101,Médio,Produtor,C,Sul,0
48,42.11,255,Médio,Cooperativa,B,Sudeste,1
49,33.74,94,Médio,Cooperativa,D,Norte,1
50,5.89,94,Médio,Produtor,C,Norte,0
51,133.04,1450,Médio,Cooperativa,F,Sudeste,1
52,14.35,1067,Pequeno,Produtor,C,Sudeste,0
53,17.88,1029,Grande,Produtor,D,Norte,0
54,56.87,698,Médio,Distribuidor,D,Sul,0
55,287.38,217,Médio,Cooperativa,B,Sudeste,1
56,19.26,1226,Pequeno,Produtor,C,Sul,0
57,46.12,212,Médio,Distribuidor,F,Nordeste,0
58,109.89,480,Pequeno,Cooperativa,C,Centro-Oeste,0
59,343.65,239,Pequeno,Cooperativa,C,Sul,1
60,33.66,1119,Grande,Produtor,A,Norte,1
61,41.49,356,Pequeno,Produtor,C,Sudeste,0
62,420.05,159,Médio,Produtor,D,Sul,0
63,171.62,150,Pequeno,Distribuidor,C,Sudeste,0
64,61.16,1278,Pequeno,Produtor,A,Sudeste,0
65,105.07,1444,Médio,Produtor,C,Sul,1
66,60.55,436,Médio,Cooperativa,F,Sudeste,1
67,74.72,127,Pequeno,Produtor,C,Sudeste,1
68,706.38,180,Médio,Cooperativa,C,Sudeste,0
69,3.19,49,Pequeno,Produtor,D,Sudeste,0
70,9.64,854,Médio,Cooperativa,C,Sudeste,0
71,1.17,1480,Pequeno,Cooperativa,B,Sudeste,1
72,60.36,255,Pequeno,Distribuidor,B,Sudeste,0
73,60.2,681,Médio,Produtor,D,Norte,1
74,16.66,1692,Médio,Produtor,A,Sudeste,1
75,1498.12,1311,Médio,Distribuidor,C,Centro-Oeste,0
76,3.65,303,Médio,Indústria,C,Sudeste,0
77,219.68,133,Pequeno,Cooperativa,B,Sudeste,1
78,26.79,923,Pequeno,Cooperativa,C,Sudeste,1
79,388.12,1668,Grande,Indústria,D,Centro-Oeste,1
80,3.68,588,Pequeno,Cooperativa,C,Sul,1
81,80.94,104,Pequeno,Indústria,A,Sul,0
82,105.39,359,Pequeno,Distribuidor,C,Sudeste,1
83,40.01,753,Pequeno,Produtor,C,Sul,1
84,24.93,424,Grande,Cooperativa,D,Nordeste,1
85,30.11,1105,Médio,Cooperativa,C,Sul,0
86,90.6,1718,Médio,Produtor,A,Nordeste,0
87,67.58,912,Pequeno,Produtor,B,Norte,1
88,63.1,990,Pequeno,Produtor,C,Norte,0
89,44.08,1750,Pequeno,Cooperativa,C,Sudeste,0
90,27.93,870,Médio,Distribuidor,A,Sul,1
91,26.43,419,Médio,Indústria,B,Sul,0
92,45.46,275,Médio,Produtor,B,Norte,1
93,148.63,983,Pequeno,Distribuidor,D,Centro-Oeste,0
94,176.35,1723,Pequeno,Distribuidor,D,Nordeste,0
95,157.58,1251,Pequeno,Produtor,B,Sudeste,1
96,12.55,234,Pequeno,Produtor,C,Centro-Oeste,0
97,9.57,937,Pequeno,Produtor,B,Sul,1
98,28.3,1738,Pequeno,Indústria,C,Sudeste,1
99,96.36,1496,Pequeno,Cooperativa,C,Sudeste,0
100,5.5,1700,Grande,Distribuidor,B,Sul,1
101,17.44,419,Médio,Indústria,C,Norte,0
102,151.22,466,Grande,Cooperativa,C,Norte,0
103,13.76,992,Grande,Produtor,D,Sudeste,0
104,17.48,955,Médio,Cooperativa,C,Sudeste,1
105,40.41,580,Pequeno,Distribuidor,C,Sudeste,1
106,135.97,130,Médio,Produtor,C,Centro-Oeste,1
107,4.46,784,Pequeno,Indústria,F,Sudeste,0
108,2559.89,329,Pequeno,Cooperativa,C,Nordeste,0
109,18.97,815,Pequeno,Indústria,D,Centro-Oeste,0
110,5.8,775,Pequeno,Produtor,B,Centro-Oeste,1
111,5.07,1317,Pequeno,Distribuidor,D,Centro-Oeste,1
112,50.64,367,Grande,Cooperativa,A,Centro-Oeste,0
113,188.11,429,Pequeno,Indústria,C,Sudeste,0
114,100.72,1072,Pequeno,Cooperativa,C,Norte,1
115,34.88,800,Pequeno,Cooperativa,C,Sul,1
116,447.4,1709,Médio,Cooperativa,C,Centro-Oeste,1
117,22.05,714,Pequeno,Produtor,D,Sudeste,0
118,67.28,1288,Médio,Distribuidor,F,Centro-Oeste,0
119,84.85,1543,Pequeno,Indústria,F,Nordeste,0
120,1.7,1479,Médio,Distribuidor,A,Sul,0
121,101.78,955,Médio,Cooperativa,B,Norte,1
122,3.86,435,Pequeno,Cooperativa,A,Sudeste,1
123,7.3,1088,Médio,Distribuidor,B,Sudeste,1
124,5.93,503,Pequeno,Cooperativa,D,Centro-Oeste,1
125,0.42,1266,Pequeno,Produtor,C,Centro-Oeste,0
126,9.64,1295,Médio,Distribuidor,C,Norte,1
127,119.26,854,Pequeno,Produtor,A,Sul,1
128,2.99,1112,Pequeno,Produtor,F,Sul,1
129,79.59,1762,Pequeno,Distribuidor,D,Norte,1
130,6.56,1756,Pequeno,Produtor,D,Centro-Oeste,0
131,216.82,252,Pequeno,Distribuidor,B,Centro-Oeste,0
132,52.56,124,Pequeno,Produtor,B,Centro-Oeste,0
133,13.63,1309,Pequeno,Distribuidor,F,Centro-Oeste,0
134,20.98,522,Pequeno,Produtor,C,Norte,1
135,28.19,797,Pequeno,Produtor,C,Sudeste,1
136,397.13,1533,Pequeno,Indústria,C,Sudeste,1
