,id_cliente,valor_divida_mil,tempo_inadimplencia_dias,porte_cliente,ramo_atuacao_cliente,score_risco_interno,regiao,score_recuperacao
698,20699,3.41,1111,Pequeno,Produtor,A,Nordeste,0.9454244
1032,21033,2.6,251,Grande,Distribuidor,C,Centro-Oeste,0.93435436
1162,21163,69.98,375,Pequeno,Produtor,A,Sul,0.93046683
1660,21661,1.82,1061,Grande,Distribuidor,C,Sudeste,0.9254757
198,20199,18.05,243,Médio,Cooperativa,C,Centro-Oeste,0.9174275
717,20718,2.45,259,Pequeno,Indústria,C,Centro-Oeste,0.9167343
566,20567,24.59,676,Pequeno,Distribuidor,C,Sudeste,0.9124102
871,20872,4.75,942,Grande,Cooperativa,A,Sudeste,0.9007209
1063,21064,10.54,105,Grande,Distribuidor,C,Sudeste,0.90032893
1525,21526,182.92,165,Pequeno,Produtor,C,Sudeste,0.8906534
1208,21209,0.53,259,Pequeno,Distribuidor,C,Centro-Oeste,0.8894958
1738,21739,304.85,1114,Pequeno,Produtor,C,Centro-Oeste,0.88467944
978,20979,15.0,519,Pequeno,Distribuidor,B,Nordeste,0.88269705
1128,21129,15.16,273,Grande,Cooperativa,C,Centro-Oeste,0.879637
581,20582,10.56,109,Pequeno,Produtor,A,Sudeste,0.8795337
1992,21993,42.65,887,Grande,Distribuidor,A,Centro-Oeste,0.8793086
1635,21636,40.67,913,Pequeno,Produtor,B,Nordeste,0.8792943
897,20898,8.88,238,Pequeno,Produtor,B,Sudeste,0.877351
218,20219,649.33,1385,Médio,Distribuidor,C,Norte,0.8744533
1896,21897,24.56,1214,Médio,Produtor,B,Sudeste,0.86811644
384,20385,128.25,1103,Grande,Distribuidor,C,Sudeste,0.8666756
868,20869,169.54,164,Pequeno,Distribuidor,C,Sudeste,0.8656785
1583,21584,7.87,230,Pequeno,Indústria,C,Centro-Oeste,0.86425745
221,20222,16.87,260,Pequeno,Distribuidor,C,Centro-Oeste,0.8621898
205,20206,24.55,1168,Pequeno,Cooperativa,C,Centro-Oeste,0.8585092
207,20208,43.34,312,Grande,Cooperativa,A,Sudeste,0.8546676
918,20919,3.11,348,Médio,Produtor,C,Centro-Oeste,0.85307133
947,20948,11.75,1454,Médio,Indústria,B,Centro-Oeste,0.85046697
1195,21196,19.97,678,Grande,Cooperativa,C,Sul,0.8502065
115,20116,25.42,524,Médio,Produtor,B,Centro-Oeste,0.84995586
1142,21143,184.11,152,Médio,Cooperativa,D,Norte,0.84994924
1564,21565,67.09,830,Médio,Indústria,C,Sul,0.8491258
1578,21579,157.33,395,Médio,Distribuidor,B,Centro-Oeste,0.84885633
1088,21089,206.96,1109,Grande,Produtor,C,Sudeste,0.84833014
440,20441,566.96,273,Pequeno,Indústria,C,Norte,0.84756035
948,20949,14.98,282,Médio,Produtor,B,Sudeste,0.84714067
618,20619,160.95,1106,Pequeno,Produtor,D,Sudeste,0.8466904
165,20166,58.39,1132,Médio,Cooperativa,B,Centro-Oeste,0.8465762
609,20610,25.09,1164,Médio,Produtor,F,Centro-Oeste,0.84262955
369,20370,3.14,225,Pequeno,Produtor,B,Sul,0.8409252
935,20936,1489.41,1345,Pequeno,Distribuidor,C,Sudeste,0.8402068
779,20780,15.41,527,Grande,Produtor,C,Sudeste,0.8394309
570,20571,6.57,399,Grande,Indústria,D,Sul,0.8393211
1313,21314,1068.59,1360,Pequeno,Distribuidor,B,Sudeste,0.8371584
827,20828,179.93,337,Pequeno,Cooperativa,C,Sudeste,0.8361709
1613,21614,25.35,256,Pequeno,Distribuidor,C,Nordeste,0.8330707
1977,21978,22.89,1150,Pequeno,Distribuidor,C,Centro-Oeste,0.8309268
381,20382,5.39,508,Pequeno,Produtor,A,Centro-Oeste,0.82818747
40,20041,25.4,1303,Pequeno,Cooperativa,C,Norte,0.8272147
495,20496,19.06,1186,Médio,Cooperativa,C,Centro-Oeste,0.82711524
1527,21528,42.97,705,Médio,Distribuidor,C,Sudeste,0.8265518
1679,21680,253.53,1113,Pequeno,Indústria,C,Sudeste,0.82631826
358,20359,3.78,555,Pequeno,Produtor,C,Nordeste,0.82514936
200,20201,184.32,416,Grande,Produtor,C,Sul,0.82414144
1323,21324,17.69,691,Médio,Distribuidor,C,Sudeste,0.8232548
1071,21072,42.03,316,Pequeno,Produtor,B,Nordeste,0.8227155
1447,21448,14.39,1162,Pequeno,Cooperativa,C,Sudeste,0.8215341
334,20335,6.68,1331,Médio,Distribuidor,C,Sudeste,0.8215137
15,20016,4.89,586,Grande,Indústria,B,Sudeste,0.8204651
1046,21047,19.02,1031,Médio,Distribuidor,A,Centro-Oeste,0.81923777
940,20941,24.31,623,Médio,Produtor,C,Centro-Oeste,0.8176462
872,20873,1.81,920,Grande,Indústria,D,Sudeste,0.81727684
798,20799,7.33,246,Grande,Produtor,C,Centro-Oeste,0.8164305
21,20022,30.88,1271,Médio,Distribuidor,C,Sudeste,0.8160196
1085,21086,3.62,448,Pequeno,Distribuidor,B,Norte,0.81510043
1742,21743,70.9,816,Médio,Cooperativa,C,Centro-Oeste,0.8144747
262,20263,73.65,1280,Pequeno,Distribuidor,D,Sul,0.81438303
291,20292,17.28,444,Médio,Distribuidor,B,Nordeste,0.8129063
1626,21627,8.91,226,Pequeno,Distribuidor,C,Sul,0.81238204
1939,21940,1.23,1161,Pequeno,Cooperativa,C,Sudeste,0.81223416
209,20210,0.87,1261,Pequeno,Produtor,C,Centro-Oeste,0.81135684
1993,21994,44.86,904,Médio,Distribuidor,B,Sudeste,0.809473
423,20424,9.15,503,Grande,Distribuidor,B,Sudeste,0.80817777
1555,21556,67.14,442,Pequeno,Produtor,B,Centro-Oeste,0.80669194
1302,21303,53.39,824,Pequeno,Produtor,B,Nordeste,0.8062746
